Remarks,Sentiment
We have receive an email from Mary that right now they do not currently have any projects but she will keep us posted if something comes up.,positive
"We have the first discussion with them, they have some other consultant, in future if something comesup they will contact us related to Syteline and Gen AI.",positive
"Talked to Michael Mullen, he told me to reach out to him in March.",positive
They have something early next year involving material certificate automation and integration with Syteline.,positive
They are definitely going to be looking at material certificate automation sometime this year but nothing happening right now. Probably nothing until after the SUN conference in March.,positive
He told us to reach out to him next thursday.,positive
"They currently working with a partner on a Cloud Readiness Assessment, and I'm sure as we evaluate our environments, questions will come up. They will contact us and we move past the planning phase.",positive
"Talked to Philip Rada, he told us to reach out to him after 3 months and he has asked for Ai document.",positive
We have to send the related information to Tariq Jamal.,positive
Brent cherry it leader replied to email that he would like to have an initial discussionand proposed to fix the call on December11thon 9AM CST.,positive
Got an email from Laura( Director of enterprise applications)she asked for some availability of our timings to set the discussion.,positive
They want us to review their LN environment. Ravi got the credentials.,positive
Received order confirmation.,positive
Shared commercials for license and implementation.,positive
Suboth asked me to share the commercial for 100 users.,positive
"Sathish said, he will check with his director and confirm the on-site meeting.",positive
"Ballpark estimate sent. Ganaprakasam said they are waiting for SAP quote from TCS, once he received he will share both the estimate to India CFO. And he said, decision will take time.",positive
Proposal shared. He asked me to take a follow-up after three week.,positive
Received scope of work for LN 10.8 migration. Need to have discussion for more clarity.,positive
"Meeting down with Andrew Wyatt, have some projects regarding Purchase Requisition routing approval system to work within or integrate with SyteLine. As he haven't been able to locate any 3rd party system that integrates with SL, so sharath will share some projects samples that we have been worked.",positive
Had a discussion with Kim Weber on18 AUg 2025 and they are using CSI version 10 and she will reach out whenever she have projects.,positive
We have fixed a meeting for 20/Aug/2025 with Ebenesar Emmanuel.,positive
We have fixed a meeting for 20/Aug/2025 with Ebenesar Emmanuel they are on version 8 and discussing to upgrade it to latest version.,positive
Need to follow-up with Daphne Jeffries as discussed on July 23/2025 they just completed an upgrade earlier this year. Currently they don't have any change requests related to the ERP. He have our contact information if any projects are initiated.,positive
"Had a discussion with Ebby, as discussed they wanted to upgrade into latest CSI & have 3 sites 2 in Texas, United states and one in Canada, they are on Current version: 8.01.11, also he wanted to discuss with some of the clients we have worked and also a detailed view of the Projects we have done so far, Our next discussion would be after we share some reference check call.",positive
Talked with Darryll and he said he will be knowing the Syteline implementations by this end of month and we should again reach him next month for projects.,positive
On Sep 30/2025 sent meeting invite to Vaibhav Joshi - IT Director on Oct 7th at 9:30 pm CT.,positive
"Darryl has sent the questionnaire, and our project team has internally discussed it to review the key pain areas and identify similar customers we've supported in the past with comparable challenges. We'll share a written approach and feedback by mid-next week, outlining how we plan to support your SyteLine environment.",positive
"On October 23rd, Osuna Jorge (MPS team) shared the spreadsheet with us, keeping Frank in the loop for our review. Our project team has received it and will complete the review shortly. We'll share our estimation and any relevant feedback by the end of this week (October 31st). We're currently awaiting the final input from our project team.",positive
Fixed call on Thursday 30th Oct 2025 at 10 AM UK Time (3:30 pm).,positive
19 Nov 2025 - Received an email from Vaibhav stating Sorry there have been several changes in the organization. Let me connect you to the Enterprise Application Lead once he is onboard.,positive
On 1 Dec 2025 Had a meeting with Jim and they are heavily customised.,positive
"On 10-Dec-25, we had a call with Linda (CFO) and Eric (IT Head). They mentioned that they are currently on CSI 9 and are planning to upgrade next year. We need to share some customer references where we have successfully completed CSI upgrades.",positive
"Jason confirmed they are ~6 months post go-live and currently working on data visibility and KPI management. He expressed interest in support for BIRST reporting and Dataview creation, as they do not have an internal SME for these areas and see this as a potential opportunity to start a relationship. Next Step: Introductory call scheduled for Jan 5, 2026 at 8:30 AM CT - invite accepted.",positive
On Jan 13 / 2026 - Ken responded stating he has some changes to make to the scope and will provide an updated version later this week.,positive
On 13/Jan/2026 - Jason sent the NDA for internal review and signature and confirmed that we can move forward after it is executed.,positive
"Spoke with Jim Koscielniak - He confirmed he remembers our previous discussion. He mentioned that his Director of Applications, Jim Young, is currently evaluating multiple vendors supporting the Infor SyteLine ecosystem. They have several SyteLine-related projects planned for 2026 and are looking to partner with vendors to scale resources as needed and avoid IT constraints.",positive
"Jan 20, 2026 - Shared customer reference details with Shashank for evaluation of our Infor SyteLine project support. The reference shared was Endera (Ottawa, Ohio, USA) and Syed Shouzab Murtuza, Data Manager at Endera. Shashank will discuss with our customer reference to understand how we are supporting their SyteLine projects. He will get back to us after the discussion, or we will follow-up accordingly.",positive
"On Jan - 2026 - Shared customer reference details (Laura Schnurr from Slacan) with Linda to evaluate our support for their Infor SyteLine environment. We have also provided all the required details to Eric from Linda's team to prepare the NDA. Currently awaiting a response from Linda and Eric regarding the NDA and next steps, after which we will plan our next move.",positive
"On Feb 9 / 2026 - Shashank Had session last week with our customer reference, currently they tied up with few issues - and catchup in couple of weeks.",positive
"Feb 9, 2026: Ebby emailed requesting a discussion regarding a SyteLine Upgrade - Q1 (TB) and shared a calendar invite for Saturday at 12:30 AM IST. We responded by sharing our team's availability: Wednesday, 11th - 8:30 AM CT; Thursday, 12th - 8:30 AM CT; and Tuesday, 17th - 8:30 AM CT, and asked if any of these time slots work for him. Awaiting his response.",positive
On 17-Feb-2026 - Spoke with Eric Morder regarding Infor SyteLine. He mentioned that he remembers our previous discussions and asked us to send an email with the updated information. He will review it with Ken and get back to us after their internal discussion.,positive
"A meeting is scheduled with Ebby on February 20, 2026, to discuss the upgrade planned for Q1.",positive
"Jeff replied my email and mentioned he is in budgeting phase for next fiscal year with a limited window for ERP change management projects. Key initiatives include Canada multi-site implementation, system review, potential upgrade (v2024.11.02.6), and AI/EDI/eCommerce automation. Informed jeff that we can support these initiatives and proposed a discussion. Client shared availability Tue 1 - 5 PM (EST) Wed 2:30 - 6 PM (EST) Thu 2:30 - 6 PM (EST) Fri 3 - 5 PM (EST) Replied to jeff confirming I will check internal team availability and revert with a meeting schedule.",positive
Jason has proposed a call on Monday at 10:00 AM CT. Yet to respond-will confirm after discussing availability with the project team.,positive
Jason is planning a visit to the VN facility during June 15-18 prior to implementation and confirmed alignment is required before full commitment. Rajib confirmed availability and agreement with this approach. Proposal will be shared by next Monday. Jason to confirm exact dates once stakeholders are finalized.,positive
"I spoke with Mohan, he said there management is asking for one more project and he said I have a meeting tomorrow with Manager (Higher Authority) regarding this Bar Code project.",positive
CONFIRMED LICENSES 80 USERS (Location - Bengaluru).,positive
CONFIRMED LICENSES 50 USERS (Location - Pune).,positive
"1/7/2026 I spoken with Thiyagarajan Muthusamy (ERP Head), I ask for the work process details and he said that need to get the production process details once he get the details he will share.",positive
"I spoken with Thiyagarajan Muthusamy (ERP Head), He said that we can have the discussion call on next we to discuss regarding work process details.",positive
3/2/2026 Today we had an second round of discussion call with Samir (IT Head) we had an module wise product overview and he ask me to schedule the call to discuss commercial on tomorrow.,positive
"3/2/2026 I spoken with Thiyagarajan Muthusamy (ERP Head), He ask me to give 2 days of time before that he will share the BOM details.",positive
3/3/2026 Today Me and Alok sir had an commercial discussion call with Pradeep Toke (Chief Operating Officer) and he said that they ready to spend the 6Lakhs for Implimentaion and we have shown the module wise that how many days it will take for implimentaion and he said they need some time. I need to take the follow-up for next round discussion.,positive
"Send the commercial as well, licence will expire on January we have to reach them on December.",positive
Connected with dibakar sir ask to shear the comprehensive service for 120 days commerciaL.,positive
"Continental thermal entity based on Chennai we are under the discussion with mr ANAND who is the sales head, and he gives the reference of my arvind who is taking care of ERP solution part as we discussed their using Tally but want to move to MSDY365, after brief explanation of the product we share them the commercial for comprehensive services, they need 15 user license, we are waiting for their response.",positive
Requesting for12 license as we already share the commercial for the comprehensive.,positive
We shared the final commercial for review.,positive
"As we share the commercial and also get revert that they have budget of 75000 for this job but we send them the counteroffer without 1 year support, so the commercial under discussion.",positive
Meeting has been finished with Greg Wolf. He informed to do follow-up after 90 days.,positive
25/02/26-1:32PM-Connected with Subash IT Manager spoke regarding discovery call scheduled a meeting tomorrow by 3PM dubai timing.,positive
24/02/26 12:33PM-Connected with Subash IT manager he's okay for discovery call and he asked me to text in WhatsApp he's said you can arrange meeting by today or tomorrow 3pm need to check with alok sir for meeting.,positive
Spoke with Martin Meinders (GM) and fixed the meeting for April 2nd 11AM EST.,positive
Spoke with Greg Wolf (COO) and fixed a call for feb 2nd 01:00p. M central time.,positive
"Connected with Marvin IT administrator he confirmed that they're having MSD 365 GP and provided his email where mailer email has been sent, we'll do follow-up on.",positive
"We had a discussion with Mr. ANMOL, as he visiting Bangalore tomorrow (21/03/2026) so he will inform us the scheduled timing.",positive
"We had a discussion with Mr komal sir and fix up the face-to-face meeting on 25 April as they they are using MSDY365 FOR BILLING PERPOS NOW they want to implement the ERP as well, number of emp 144, he asked me price for parches requisition and ask me me to keep in touch so that he will conform about the timing.",positive
"AS WE ARE CONNECTED WITH CEO MR [Phone Number Removed]) AND DISCUSSED WITH HIM ABOUT OUR COMPRIHANSHIVE SERVICES, AS HE INFORMED, HE WILL BE AVAILABLE IN BANGALORE AFTER THAT HE WILL ASK FOR ONE TO ONE MEETING.",positive
"We visited to Kewaunee and meet with mr Ramanand we are under follow-up as Kewaunee US is our old client, we have high possibilities for the comprehensive services conversion, we are trying to get the full-fledged meeting with MR Ramanand sir.",positive
I HAVE GOT CONNECTED WITH tomorrow SHEPHERD(CCO) HE TOLD ME THAT HE IS IN MEETING HE TOLD ME TO email HIM AND HE WILL RESPOND AFTERWARDS AND SCHEDULE A MEETING AFTER GOING THROUGH IT AND THE COMPANY WAS AQUIRED BY MIRATECH.,positive
I have got connected with nathan read (INTERNATIONAL PLANNER) WE HAD TALKED AND HE ASKED FOR PPT AND AFTER THAT HE WILL BE READY FOR THE TEAMS MEETING.,positive
2/13/2026 2:07PM spoke with IT manager Abhilash told that plan next for meeting 16/02/2026 monday at 3pm and I scheduled it on 16/02/2026(monday) at 3pm.,positive
25/02/26-1:32PM-Connected with Subash IT Manager spoke regarding discovery call scheduled a meeting tomorrow by 3PM dubai timing.,positive
24/02/26 12:33PM-Connected with Subash IT manager he's okay for discovery call and he asked me to text in WhatsApp he's said you can arrange meeting by today or tomorrow 3pm need to check with alok sir for meeting.,positive
Connected with finance manager they are using Tally and now they are planning to change their ERP Call back 12:30 gave to sandeep for Follow-up.,positive
"13/01 received the number of finance and IT manager have to talk with them 14/01 not answered 20/01 call back 5pm 04/02/ had a word with finance asked to send details in email and told to call after 2 days 16/02 today we got proper confirmation from finance manager that they have requirement received the number of assistant director to call for demo 17/02 had a word with srimathi she said ok for demo, timing yet to confirm.",positive
05/01/2026 Call back 06/01/2026 had a word with purchase manager he mentioned they have requirement have to take follow-up for demo 07/01/26 had a word with purchase manager asked to send email and also they have requirement he will confirm in 2 days after talking with higher official 09/01/26 not answering 13/01/26 had a word with purchase manager fixed demo on 21st 2nd half.,positive
"Had a discussion with wesley, and they are currently using CSI 10, need to discuss with project management team, and fix a meeting on 6 or 9th/March/2026.",positive
"14/01: call connected to Mr. Rohit Nikam and gave the call pitch about the INFOR LN ERP and he informed me that they are using the local based EP and they have invested a huge amount in 2022, asked to email the product. So i sent the email.",positive
"13/01: call connected to Mr. Nilesh (IT Head), and gave my call pitch about the LN ERP and he informed me that they are using the SAP H19 ERP and he said that they are spending 1.5 cr every year. 43 USER LICENSE they are using, now they require 60 USER LICENSE. He asked me to send the email of the product, i sent the email. Follow-up.",positive
"14/11: call connected to the customer, gave my call pitch about the MSD ERP, they gave me the email, i mailed the brochure with MSD ERP overview as of now. Will follow-up ON Monday. 17/11: call connected to Mr. Balamurugun K and he informed me that they have the requirement as they are not using any ERP. Already sent the email with brochure. Case forwarded to Sreekanth.",positive
"17/12: RNR, 22/12: call connected to the customer ( the sales team ) and he informed me to connect to Mr. Rajendra Mane. By tomorrow. 23/12: Call connected to Mr. Rajendra Mane(IT) and gave my call pitch about the INFOR LN ERP and he informed me that they are using the local based ERP, He asked me to share the email so that he will discuss with the director than he will update, So i sent the email.",positive
"10/12: call connected to Mr. GN Puranik from the IT, and gave my call pitch about the MSD ERP and he informed me that they are using customised ERP on their own but are quite interested in knowing the MSD ERP so i sent the email to him. Will follow-up on Friday.",positive
8/12: Call connected to Reshma from the IT admin and gave the call pitch about the Infor LN ERP and she informed me that they have the requirement as they are using the inbuilt ERP. Will follow-up.,positive
"10/12: call connected to Mr. GN Puranik from the IT, and gave my call pitch about the MSD ERP and he informed me that they are using customised ERP on their own but are quite interested in knowing the MSD ERP so i sent the email to him. Will follow-up on Friday.",positive
8/12: Call connected to Reshma from the IT admin and gave the call pitch about the Infor LN ERP and she informed me that they have the requirement as they are using the inbuilt ERP. Will follow-up.,positive
12/15/2025 spoke to Raj Bhagat. He said we are using tally and we will plan for demo in march month.,positive
"25/02 Stephane as per our last demo discussion where he was about to share the Business requirement details /screenshot of dashboard. He shared it over email, and that particular document has been shared with attainders of demo call. Will do the further steps to move the case forward.",positive
Connected with Stephane final demo call has been scheduled on 24th February.,positive
Spoke with Dominick Fontana and scheduled the conference call on wednesday 1 pm eastern standard time.,positive
